cue1,out,certainty,prob_out
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
2,2,0,1
2,2,0,1
2,2,0,1
2,2,0,1
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
4,4,0,1
4,4,0,1
4,4,0,1
4,4,0,1
