exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,555,1,1,1,1,1,[2 3 1 0],4,0,4.37429450000127,55,NA,[1 2 0 3],[3 0 1 2]
UNW01,555,1,3,3,1,1,[1 3 0 2],3,1,5.831327400001101,55,NA,[1 2 0 3],[3 0 1 2]
UNW01,555,1,1,1,1,1,[2 0 3 1],1,1,0.7893575999987661,55,NA,[1 2 0 3],[3 0 1 2]
UNW01,555,1,3,3,1,1,[0 1 3 2],4,0,0.45708750000085274,55,NA,[1 2 0 3],[3 0 1 2]
UNW01,555,1,2,2,1,1,[2 0 3 1],3,0,0.6667368999987957,55,NA,[1 2 0 3],[3 0 1 2]
UNW01,555,1,3,3,1,1,[0 3 2 1],2,0,9.748412299999472,55,NA,[1 2 0 3],[3 0 1 2]
