counterbalance_2.started,counterbalance_2.stopped,participant,age,gender,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,information_2.started,information_2.stopped,information_loop.thisRepN,information_loop.thisTrialN,information_loop.thisN,information_loop.thisIndex,information_loop.ran,information,consent_2.started,consent_2.stopped,slider_1.response,slider_2.response,slider_3.response,slider_4.response,slider_5.response,slider_6.response,instructions.started,instructions.stopped,task1_instr.thisRepN,task1_instr.thisTrialN,task1_instr.thisN,task1_instr.thisIndex,task1_instr.ran,task1,comprehension1_2.started,comprehension1_2.stopped,comp1_mouse.x,comp1_mouse.y,comp1_mouse.leftButton,comp1_mouse.midButton,comp1_mouse.rightButton,comp1_mouse.time,comp1_mouse.clicked_name,cue_o__trial_2.started,cue_o__trial_2.stopped,order,cue_order,out_order,cue_o_mouse.x,cue_o_mouse.y,cue_o_mouse.leftButton,cue_o_mouse.midButton,cue_o_mouse.rightButton,cue_o_mouse.time,cue_o_mouse.clicked_name,cue_selection_2.started,correct_answer,cue_selection_2.stopped,feedback_2.started,feedback_2.stopped,feedback_loop.thisRepN,feedback_loop.thisTrialN,feedback_loop.thisN,feedback_loop.thisIndex,feedback_loop.ran,stage1_trials.thisRepN,stage1_trials.thisTrialN,stage1_trials.thisN,stage1_trials.thisIndex,stage1_trials.ran,cue1,cue2,cue3,outcome,correct_out,o1_feedback,o2_feedback,stage2_feedback_loop.thisRepN,stage2_feedback_loop.thisTrialN,stage2_feedback_loop.thisN,stage2_feedback_loop.thisIndex,stage2_feedback_loop.ran,stage2_trials.thisRepN,stage2_trials.thisTrialN,stage2_trials.thisN,stage2_trials.thisIndex,stage2_trials.ran,stage3_feedback_loop.thisRepN,stage3_feedback_loop.thisTrialN,stage3_feedback_loop.thisN,stage3_feedback_loop.thisIndex,stage3_feedback_loop.ran,stage3_trials.thisRepN,stage3_trials.thisTrialN,stage3_trials.thisN,stage3_trials.thisIndex,stage3_trials.ran,debrief_2.started,debrief_2.stopped,debrief_loop.thisRepN,debrief_loop.thisTrialN,debrief_loop.thisN,debrief_loop.thisIndex,debrief_loop.ran,debrief_img,compr1_completed.thisRepN,compr1_completed.thisTrialN,compr1_completed.thisN,compr1_completed.thisIndex,compr1_completed.ran,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran
0.0003,0.0006,59e795c062637600014a7d3f,33,female,2024-04-24_11h32.33.916,stockport_simplified,2022.2.4,Linux x86_64,59.88023952,661e456ee6de07e70aa9ef7b,6628df8ab8160f08a3f675d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59e795c062637600014a7d3f,33,female,2024-04-24_11h32.33.916,stockport_simplified,2022.2.4,Linux x86_64,59.88023952,661e456ee6de07e70aa9ef7b,6628df8ab8160f08a3f675d0,0.0293,4.908,0,0,0,0,1,instructions/info1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59e795c062637600014a7d3f,33,female,2024-04-24_11h32.33.916,stockport_simplified,2022.2.4,Linux x86_64,59.88023952,661e456ee6de07e70aa9ef7b,6628df8ab8160f08a3f675d0,4.9095,6.2272,0,1,1,1,1,instructions/info2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59e795c062637600014a7d3f,33,female,2024-04-24_11h32.33.916,stockport_simplified,2022.2.4,Linux x86_64,59.88023952,661e456ee6de07e70aa9ef7b,6628df8ab8160f08a3f675d0,6.2298,8.1079,0,2,2,2,1,instructions/info3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59e795c062637600014a7d3f,33,female,2024-04-24_11h32.33.916,stockport_simplified,2022.2.4,Linux x86_64,59.88023952,661e456ee6de07e70aa9ef7b,6628df8ab8160f08a3f675d0,,,,,,,,,8.1092,18.2394,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59e795c062637600014a7d3f,33,female,2024-04-24_11h32.33.916,stockport_simplified,2022.2.4,Linux x86_64,59.88023952,661e456ee6de07e70aa9ef7b,6628df8ab8160f08a3f675d0,,,,,,,,,,,,,,,,,18.2765,34.5385,0,0,0,0,1,instructions/task1_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59e795c062637600014a7d3f,33,female,2024-04-24_11h32.33.916,stockport_simplified,2022.2.4,Linux x86_64,59.88023952,661e456ee6de07e70aa9ef7b,6628df8ab8160f08a3f675d0,,,,,,,,,,,,,,,,,34.5404,46.3599,0,1,1,1,1,instructions/task1_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59e795c062637600014a7d3f,33,female,2024-04-24_11h32.33.916,stockport_simplified,2022.2.4,Linux x86_64,59.88023952,661e456ee6de07e70aa9ef7b,6628df8ab8160f08a3f675d0,,,,,,,,,,,,,,,,,46.3607,61.1463,0,2,2,2,1,instructions/task1_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59e795c062637600014a7d3f,33,female,2024-04-24_11h32.33.916,stockport_simplified,2022.2.4,Linux x86_64,59.88023952,661e456ee6de07e70aa9ef7b,6628df8ab8160f08a3f675d0,,,,,,,,,,,,,,,,,,,,,,,,,61.1486,79.9352,0.336111139,-0.337037051,1,0,0,18.784,comp1_resp1,80.0182,85.0462,"[8,7,4,5,3,2,6,1]","[[0.3,0.2],[-0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",0.168518561,-0.200925968,1,0,0,4.5101,o2_image,85.084,1,85.5838,85.5844,87.5813,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59e795c062637600014a7d3f,33,female,2024-04-24_11h32.33.916,stockport_simplified,2022.2.4,Linux x86_64,59.88023952,661e456ee6de07e70aa9ef7b,6628df8ab8160f08a3f675d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,13,1,B,X,N,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
