counterbalance_2.started,counterbalance_2.stopped,participant,age,gender,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,information_2.started,information_2.stopped,information_loop.thisRepN,information_loop.thisTrialN,information_loop.thisN,information_loop.thisIndex,information_loop.ran,information,consent_2.started,consent_2.stopped,slider_1.response,slider_2.response,slider_3.response,slider_4.response,slider_5.response,slider_6.response,instructions.started,instructions.stopped,task1_instr.thisRepN,task1_instr.thisTrialN,task1_instr.thisN,task1_instr.thisIndex,task1_instr.ran,task1,comprehension1_2.started,comprehension1_2.stopped,comp1_mouse.x,comp1_mouse.y,comp1_mouse.leftButton,comp1_mouse.midButton,comp1_mouse.rightButton,comp1_mouse.time,comp1_mouse.clicked_name,cue_o__trial_2.started,cue_o__trial_2.stopped,order,cue_order,out_order,cue_o_mouse.x,cue_o_mouse.y,cue_o_mouse.leftButton,cue_o_mouse.midButton,cue_o_mouse.rightButton,cue_o_mouse.time,cue_o_mouse.clicked_name,cue_selection_2.started,correct_answer,cue_selection_2.stopped,feedback_2.started,feedback_2.stopped,feedback_loop.thisRepN,feedback_loop.thisTrialN,feedback_loop.thisN,feedback_loop.thisIndex,feedback_loop.ran,stage1_trials.thisRepN,stage1_trials.thisTrialN,stage1_trials.thisN,stage1_trials.thisIndex,stage1_trials.ran,cue1,cue2,cue3,outcome,correct_out,o1_feedback,o2_feedback,stage2_feedback_loop.thisRepN,stage2_feedback_loop.thisTrialN,stage2_feedback_loop.thisN,stage2_feedback_loop.thisIndex,stage2_feedback_loop.ran,stage2_trials.thisRepN,stage2_trials.thisTrialN,stage2_trials.thisN,stage2_trials.thisIndex,stage2_trials.ran,stage3_feedback_loop.thisRepN,stage3_feedback_loop.thisTrialN,stage3_feedback_loop.thisN,stage3_feedback_loop.thisIndex,stage3_feedback_loop.ran,stage3_trials.thisRepN,stage3_trials.thisTrialN,stage3_trials.thisN,stage3_trials.thisIndex,stage3_trials.ran,debrief_2.started,debrief_2.stopped,debrief_loop.thisRepN,debrief_loop.thisTrialN,debrief_loop.thisN,debrief_loop.thisIndex,debrief_loop.ran,debrief_img,compr1_completed.thisRepN,compr1_completed.thisTrialN,compr1_completed.thisN,compr1_completed.thisIndex,compr1_completed.ran,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran
0.0004,0.0007,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,0.0311,23.8588,0,0,0,0,1,instructions/info1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,23.8596,29.9981,0,1,1,1,1,instructions/info2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,29.9985,33.1061,0,2,2,2,1,instructions/info3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,33.1065,53.8506,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,53.8628,78.989,0,0,0,0,1,instructions/task1_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,79.0031,92.5247,0,1,1,1,1,instructions/task1_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,92.5404,105.7074,0,2,2,2,1,instructions/task1_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,105.7101,129.1422,-0.062841797,-0.316376953,1,0,0,23.4295,comp1_resp1,129.1919,132.7786,"[3,6,5,2,4,1,7,8]","[[-0.3,0.2],[0.3,0.2]]","[[0.125,-0.2],[-0.125,-0.2]]",0.159233398,-0.224799805,1,0,0,3.0339,o1_image,132.7806,0,133.247,133.2472,135.2453,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,29,1,N,M,D,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.2462,139.659,"[3,6,5,2,4,1,7,8]","[[-0.3,0.2],[0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",0.135332031,-0.172827148,1,0,0,3.8968,o2_image,139.675,1,140.1586,140.1587,142.1716,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,17,1,B,Y,N,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.1721,148.4327,"[3,6,5,2,4,1,7,8]","[[0.3,0.2],[-0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",-0.090136719,-0.20012207,1,0,0,5.7518,o1_image,148.4476,1,148.9728,148.9728,150.9747,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,9,1,A,Y,N,o1_image,stimuli/out1.png,stimuli/correct_out1.png,stimuli/out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.9752,156.9872,"[3,6,5,2,4,1,7,8]","[[-0.3,0.2],[0.3,0.2]]","[[0.125,-0.2],[-0.125,-0.2]]",0.042998047,-0.199702148,1,0,0,4.6945,o1_image,157.0038,1,157.5112,157.5112,159.4648,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,38,1,A,Y,N,o1_image,stimuli/out1.png,stimuli/correct_out1.png,stimuli/out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.4655,162.4761,"[3,6,5,2,4,1,7,8]","[[-0.3,0.2],[0.3,0.2]]","[[0.125,-0.2],[-0.125,-0.2]]",-0.150073242,-0.231582031,1,0,0,2.5002,o2_image,162.491,1,162.9787,162.9787,164.9435,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,41,1,B,X,N,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.9439,168.6781,"[3,6,5,2,4,1,7,8]","[[-0.3,0.2],[0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",-0.097358398,-0.241264648,1,0,0,3.2325,o1_image,168.6949,0,169.1575,169.1575,171.1281,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,42,1,B,X,N,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.1285,172.7064,"[3,6,5,2,4,1,7,8]","[[-0.3,0.2],[0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",0.146210937,-0.228227539,1,0,0,1.0553,o2_image,172.7079,1,173.198,173.198,175.1867,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,40,1,B,X,N,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65c64b9b090c48be1380151a,28,female,2024-04-19_17h37.40.086,stockport_simplified,2022.2.4,MacIntel,19.60784314,661e456ee6de07e70aa9ef7b,66229da05707434e9bc49c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.1871,177.0997,"[3,6,5,2,4,1,7,8]","[[-0.3,0.2],[0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",0.146210937,-0.228227539,1,0,0,1.373,o2_image,177.1006,1,177.593,177.593,179.5571,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
