counterbalance_2.started,counterbalance_2.stopped,participant,age,gender,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,information_2.started,information_2.stopped,information_loop.thisRepN,information_loop.thisTrialN,information_loop.thisN,information_loop.thisIndex,information_loop.ran,information,consent_2.started,consent_2.stopped,slider_1.response,slider_2.response,slider_3.response,slider_4.response,slider_5.response,slider_6.response,instructions.started,instructions.stopped,task1_instr.thisRepN,task1_instr.thisTrialN,task1_instr.thisN,task1_instr.thisIndex,task1_instr.ran,task1,comprehension1_2.started,comprehension1_2.stopped,comp1_mouse.x,comp1_mouse.y,comp1_mouse.leftButton,comp1_mouse.midButton,comp1_mouse.rightButton,comp1_mouse.time,comp1_mouse.clicked_name,cue_o__trial_2.started,cue_o__trial_2.stopped,order,cue_order,out_order,cue_o_mouse.x,cue_o_mouse.y,cue_o_mouse.leftButton,cue_o_mouse.midButton,cue_o_mouse.rightButton,cue_o_mouse.time,cue_o_mouse.clicked_name,cue_selection_2.started,correct_answer,cue_selection_2.stopped,feedback_2.started,feedback_2.stopped,feedback_loop.thisRepN,feedback_loop.thisTrialN,feedback_loop.thisN,feedback_loop.thisIndex,feedback_loop.ran,stage1_trials.thisRepN,stage1_trials.thisTrialN,stage1_trials.thisN,stage1_trials.thisIndex,stage1_trials.ran,cue1,cue2,cue3,outcome,correct_out,o1_feedback,o2_feedback,stage2_feedback_loop.thisRepN,stage2_feedback_loop.thisTrialN,stage2_feedback_loop.thisN,stage2_feedback_loop.thisIndex,stage2_feedback_loop.ran,stage2_trials.thisRepN,stage2_trials.thisTrialN,stage2_trials.thisN,stage2_trials.thisIndex,stage2_trials.ran,stage3_feedback_loop.thisRepN,stage3_feedback_loop.thisTrialN,stage3_feedback_loop.thisN,stage3_feedback_loop.thisIndex,stage3_feedback_loop.ran,stage3_trials.thisRepN,stage3_trials.thisTrialN,stage3_trials.thisN,stage3_trials.thisIndex,stage3_trials.ran,debrief_2.started,debrief_2.stopped,debrief_loop.thisRepN,debrief_loop.thisTrialN,debrief_loop.thisN,debrief_loop.thisIndex,debrief_loop.ran,debrief_img,compr1_completed.thisRepN,compr1_completed.thisTrialN,compr1_completed.thisN,compr1_completed.thisIndex,compr1_completed.ran,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran
0.0003,0.0006,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,0.0245,23.2842,0,0,0,0,1,instructions/info1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,23.2846,27.0105,0,1,1,1,1,instructions/info2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,27.0108,29.7257,0,2,2,2,1,instructions/info3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,29.7259,49.9517,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,49.9619,70.6012,0,0,0,0,1,instructions/task1_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,70.6074,81.5112,0,1,1,1,1,instructions/task1_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,81.5181,104.4202,0,2,2,2,1,instructions/task1_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,104.4207,121.9913,0.042592593,-0.325925926,1,0,0,17.57,comp1_resp1,122.0071,125.4395,"[7,6,8,2,3,4,1,5]","[[0.3,0.2],[-0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",0.105555556,-0.188888889,1,0,0,2.9267,o2_image,125.4404,0,125.9365,125.9367,127.9366,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,22,1,N,M,C,o1_image,stimuli/out1.png,stimuli/correct_out1.png,stimuli/out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.9369,130.9852,"[7,6,8,2,3,4,1,5]","[[0.3,0.2],[-0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",0.118518519,-0.182407407,1,0,0,2.5453,o2_image,130.9918,0,131.4881,131.4882,133.4886,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,8,1,A,Y,N,o1_image,stimuli/out1.png,stimuli/correct_out1.png,stimuli/out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.4891,135.852,"[7,6,8,2,3,4,1,5]","[[-0.3,0.2],[0.3,0.2]]","[[0.125,-0.2],[-0.125,-0.2]]",-0.102777778,-0.203703704,1,0,0,1.8604,o2_image,135.8524,0,136.3494,136.3494,138.3497,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,33,1,A,X,N,o1_image,stimuli/out1.png,stimuli/correct_out1.png,stimuli/out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.35,139.5433,"[7,6,8,2,3,4,1,5]","[[-0.3,0.2],[0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",-0.085185185,-0.186111111,1,0,0,0.6909,o1_image,139.5439,0,140.04,140.04,142.0402,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,43,1,B,X,N,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0404,144.6774,"[7,6,8,2,3,4,1,5]","[[-0.3,0.2],[0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",0.109259259,-0.187037037,1,0,0,2.1341,o2_image,144.6779,1,145.1739,145.174,147.1739,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,49,1,B,Y,N,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.1742,149.265,"[7,6,8,2,3,4,1,5]","[[-0.3,0.2],[0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",-0.096296296,-0.186111111,1,0,0,1.5876,o1_image,149.2655,0,149.7617,149.7618,151.7618,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,29,1,N,M,D,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.7621,154.6469,"[7,6,8,2,3,4,1,5]","[[0.3,0.2],[-0.3,0.2]]","[[0.125,-0.2],[-0.125,-0.2]]",-0.093518519,-0.186111111,1,0,0,2.3815,o2_image,154.6529,1,155.1499,155.1499,157.15,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,10,1,B,X,N,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.1502,159.5441,"[7,6,8,2,3,4,1,5]","[[0.3,0.2],[-0.3,0.2]]","[[0.125,-0.2],[-0.125,-0.2]]",-0.089814815,-0.186111111,1,0,0,1.8906,o2_image,159.5445,1,160.0412,160.0412,162.0412,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,25,1,N,M,D,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0416,163.2837,"[7,6,8,2,3,4,1,5]","[[-0.3,0.2],[0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",-0.088888889,-0.185185185,1,0,0,0.7394,o1_image,163.2842,0,163.7807,163.7807,165.7812,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,27,1,N,M,D,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.7816,167.7811,"[7,6,8,2,3,4,1,5]","[[-0.3,0.2],[0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",-0.1,-0.189814815,1,0,0,1.4969,o1_image,167.7816,1,168.2777,168.2778,170.278,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,23,1,N,M,C,o1_image,stimuli/out1.png,stimuli/correct_out1.png,stimuli/out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.2785,173.175,"[7,6,8,2,3,4,1,5]","[[0.3,0.2],[-0.3,0.2]]","[[0.125,-0.2],[-0.125,-0.2]]",-0.098148148,-0.197222222,1,0,0,2.3935,o2_image,173.1755,0,173.6719,173.672,175.672,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,38,1,A,Y,N,o1_image,stimuli/out1.png,stimuli/correct_out1.png,stimuli/out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6724,179.5996,"[7,6,8,2,3,4,1,5]","[[-0.3,0.2],[0.3,0.2]]","[[0.125,-0.2],[-0.125,-0.2]]",-0.075925926,-0.192592593,1,0,0,3.4241,o2_image,179.6055,1,180.1026,180.1026,182.1027,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfe7de0bf3d4eb1cc979a7a,22,male,2024-04-19_18h37.30.160,stockport_simplified,2022.2.4,Win32,163.9344262,661e456ee6de07e70aa9ef7b,66229d94094ac4f560514077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,46,1,B,Y,N,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
