exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,310,1,3,3,1,1,[2 0 3 1],2,0,5.377775500000098,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,4,4,1,1,[0 2 1 3],2,0,3.855791599999975,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,1,1,1,1,[2 0 1 3],1,1,3.307727899999918,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,2,2,1,1,[1 3 2 0],2,1,4.197466399999939,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,4,4,1,1,[0 1 3 2],4,1,4.266228599999977,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,4,4,1,1,[2 0 3 1],4,1,1.7260936999996375,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,3,3,1,1,[1 2 3 0],3,1,1.5590127999998913,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,4,4,1,1,[3 1 0 2],4,1,3.991839599999821,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,2,2,1,1,[3 0 1 2],1,0,2.998034799999914,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,1,1,1,1,[1 3 0 2],4,0,4.739352799999779,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,1,1,1,1,[1 0 2 3],1,1,1.5002999999996973,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,4,4,1,1,[0 3 1 2],3,0,4.126362699999845,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,2,2,1,1,[2 1 3 0],3,0,2.4320576000000074,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,4,4,1,1,[1 3 0 2],4,1,1.276604799999859,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,2,2,1,1,[0 2 3 1],2,1,2.5774023999997553,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,3,3,1,1,[1 2 3 0],1,0,3.4943912000003365,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,1,1,1,1,[2 0 3 1],4,0,3.857598600000074,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,1,1,1,1,[3 2 0 1],1,1,2.1484058000000914,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,1,1,1,1,[1 2 0 3],1,1,0.9181939999998576,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,2,2,1,1,[3 2 0 1],3,0,2.735183600000255,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,2,2,1,1,[0 2 1 3],4,0,1.2638190000002396,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,3,3,1,1,[0 2 3 1],3,1,4.034854800000176,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,2,2,1,1,[1 3 0 2],2,1,2.4552275999999438,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,4,4,1,1,[2 3 0 1],4,1,2.466457300000002,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,1,1,1,1,[0 3 2 1],1,1,2.6073010000000068,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,3,3,1,1,[2 0 3 1],3,1,3.1970608999999968,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,4,4,1,1,[1 0 3 2],4,1,3.1861994999999297,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,3,3,1,1,[0 3 1 2],3,1,4.35374210000009,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,2,2,1,1,[2 0 3 1],1,0,2.273511700000199,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,3,3,1,1,[2 1 3 0],4,0,1.2929225000002589,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,3,3,1,1,[2 1 0 3],4,0,3.4706851999999344,18,Female,[2 0 3 1],[1 2 0 3]
UNW01,310,1,3,3,1,1,[2 0 3 1],3,1,1.4987552000002324,18,Female,[2 0 3 1],[1 2 0 3]
