exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,412,1,3,3,0,1,[0 2 3 1],2,0,4.565097499999865,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,2,2,0,1,[3 2 0 1],2,1,6.020545800000036,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,2,2,0,1,[3 1 0 2],2,1,2.51375760000019,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,4,4,0,1,[3 1 2 0],1,0,4.851822799999809,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,2,1,0,0,[2 3 1 0],2,0,3.1502129999998942,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,4,3,0,0,[3 2 0 1],3,1,2.4306977999999617,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,1,2,0,0,[0 2 3 1],1,0,2.5168961000003947,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,3,3,0,1,[3 0 1 2],2,0,5.661415400000351,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,4,4,0,1,[2 0 3 1],1,0,3.6736259999997856,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,4,4,0,1,[1 3 2 0],3,0,1.732448999999633,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,2,2,0,1,[0 3 2 1],2,1,5.053301499999634,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,1,1,0,1,[0 3 1 2],-99,-99,-99,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,2,2,0,1,[1 2 3 0],1,0,2.982157500000085,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,4,4,0,1,[0 1 2 3],1,0,3.71003010000004,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,2,2,0,1,[2 0 1 3],2,1,3.104444599999624,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,2,2,0,1,[2 0 1 3],2,1,0.9390226000000439,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,3,3,0,1,[0 2 3 1],3,1,8.329928099999961,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,1,1,0,1,[0 1 3 2],1,1,7.993778300000031,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,4,4,0,1,[2 1 0 3],1,0,1.5221338999999716,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,3,3,0,1,[2 3 1 0],3,1,4.883091499999864,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,2,2,0,1,[1 2 0 3],2,1,3.270374499999889,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,3,3,0,1,[1 2 0 3],4,0,7.369129499999872,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,1,1,0,1,[0 2 1 3],1,1,4.3846637999999984,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,3,4,0,0,[2 3 0 1],4,1,5.462791400000242,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,1,2,0,0,[2 3 0 1],-99,-99,-99,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,4,4,0,1,[1 0 3 2],2,0,4.960223099999894,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,4,3,0,0,[0 3 1 2],4,0,1.7756689999996524,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,4,4,0,1,[1 0 2 3],3,0,1.1666633999993792,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,1,1,0,1,[3 0 1 2],2,0,8.429908799999794,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,2,2,0,1,[0 1 3 2],2,1,7.434906799999226,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,1,1,0,1,[2 3 1 0],3,0,4.960237500000403,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,3,3,0,1,[3 2 0 1],1,0,2.5273864000000685,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,1,1,0,1,[2 1 0 3],2,0,7.33645609999985,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,4,4,0,1,[2 3 0 1],1,0,0.0006032000001141569,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,1,1,0,1,[3 0 2 1],4,0,2.0880169000001843,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,2,1,0,0,[1 2 0 3],3,0,8.497367700000723,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,3,3,0,1,[0 1 2 3],2,0,2.4766811999998026,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,1,1,0,1,[1 2 3 0],2,0,8.031121899999562,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,3,4,0,0,[0 3 1 2],1,0,8.844417799999974,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,3,3,0,1,[1 0 2 3],4,0,2.0810578000000532,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,3,4,0,0,[0 2 1 3],3,0,2.3318985999994766,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,3,3,0,1,[3 2 0 1],3,1,3.044836899999609,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,2,2,0,1,[1 0 2 3],2,1,4.672736599999553,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,4,4,0,1,[2 1 0 3],3,0,9.316076300000532,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,1,1,0,1,[0 1 3 2],2,0,2.492386500000066,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,4,4,0,1,[2 0 1 3],2,0,2.431882500000029,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,4,4,0,1,[3 0 2 1],2,0,6.9962717000007615,18,Female,[1 2 3 0],[0 2 1 3]
UNW01,412,1,3,3,0,1,[0 3 2 1],3,1,1.7862647000001743,18,Female,[1 2 3 0],[0 2 1 3]
