exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,201,1,4,3,0,0,[0 3 1 2],1,1.8102571999988868,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,4,0,0,[3 2 1 0],0,1.2700202999985777,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,1,0,0,[3 2 1 0],0,0.9712931000030949,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[0 1 2 3],1,1.7510545999975875,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[1 3 0 2],0,1.6106833000012557,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[0 2 3 1],1,1.3171777000025031,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[3 1 0 2],0,1.3243422999948962,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[2 1 3 0],0,1.3066336999982013,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[2 0 1 3],1,1.879114200004551,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[1 2 0 3],0,1.2670851000002585,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,1,0,0,[2 3 0 1],1,1.7402852999948664,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,4,0,0,[3 0 2 1],0,0.9544116999968537,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[3 0 2 1],0,0.8932691000009072,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[2 0 1 3],1,1.3101469000030193,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[3 1 0 2],0,1.8239090999995824,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[1 0 3 2],1,1.1803574000005028,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[3 1 2 0],0,2.6279360999978962,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[3 0 2 1],0,1.8295046999992337,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[0 3 2 1],0,1.4067852000007406,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[3 1 2 0],0,2.7667470000014873,21,Female,[1 3 0 2],[3 1 2 0]
