exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,114,1,4,4,1,1,[1 3 0 2],3,0,3.5714875999838114,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,2,2,1,1,[3 0 1 2],4,0,2.368436200020369,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,4,4,1,1,[3 0 1 2],4,1,3.2956209999974817,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,1,1,1,1,[1 0 3 2],2,0,1.9428573000477627,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,2,2,1,1,[3 0 1 2],3,0,3.9279651999822818,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,4,4,1,1,[3 1 2 0],4,1,3.4815793999587186,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,2,2,1,1,[1 0 3 2],2,1,4.907323099963833,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,1,1,1,1,[3 1 2 0],1,1,2.2362408000044525,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,3,3,1,1,[3 0 2 1],4,0,2.8235189999686554,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,2,2,1,1,[2 3 1 0],2,1,3.317034900013823,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,3,3,1,1,[2 3 1 0],3,1,4.215557500021532,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,3,3,1,1,[2 0 1 3],3,1,1.4726700999890454,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,1,1,1,1,[3 2 0 1],2,0,5.167036700004246,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,3,3,1,1,[3 0 1 2],3,1,3.03666429995792,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,4,4,1,1,[3 0 1 2],4,1,2.87215940002352,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,4,4,1,1,[1 0 3 2],4,1,2.0665752000059,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,2,2,1,1,[3 0 1 2],2,1,4.643540099961683,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,3,3,1,1,[1 3 2 0],3,1,2.3781993000302464,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,1,1,1,1,[1 0 2 3],1,1,3.9365475000231527,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,2,2,1,1,[0 1 2 3],2,1,4.967806600034237,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,3,3,1,1,[2 0 1 3],3,1,1.510885399999097,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,4,4,1,1,[0 2 3 1],4,1,1.9848359000170603,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,1,1,1,1,[0 2 1 3],1,1,2.820798799977638,42,Female,[0 3 1 2],[0 3 2 1]
UNW01,114,1,2,2,1,1,[1 3 2 0],3,0,2.747633099963423,42,Female,[0 3 1 2],[0 3 2 1]
