exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,405,1,3,4,0,0,[3 2 0 1],3,0,2.0108137000024726,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,3,3,0,1,[3 0 1 2],4,0,1.013439299997117,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,3,4,0,0,[2 3 1 0],3,0,1.9878000000026077,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,1,1,0,1,[0 2 3 1],1,1,2.522267800002737,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,1,1,0,1,[2 0 1 3],1,1,1.2039650000006077,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,2,2,0,1,[3 2 0 1],2,1,2.7607576999980665,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,3,3,0,1,[2 0 3 1],4,0,1.3605380000008154,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,1,1,0,1,[2 0 3 1],1,1,2.5461423999986437,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,4,3,0,0,[2 0 3 1],3,1,2.360905100002128,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,1,2,0,0,[1 2 3 0],1,0,1.7870655000006082,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,1,2,0,0,[0 3 1 2],2,1,1.616757100000541,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,2,2,0,1,[1 3 2 0],2,1,1.4297413999993296,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,2,2,0,1,[0 2 3 1],2,1,1.3385521000018343,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,1,1,0,1,[2 3 1 0],1,1,1.4674705999968864,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,4,4,0,1,[0 2 1 3],3,0,2.974709400001302,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,4,4,0,1,[2 1 3 0],4,1,1.1504659000020183,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,4,4,0,1,[2 0 1 3],4,1,1.3167360000006738,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,2,1,0,0,[3 1 2 0],2,0,1.1991746999992756,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,2,2,0,1,[1 3 0 2],1,0,1.1321999000028882,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,2,2,0,1,[3 2 0 1],2,1,1.7971147999996901,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,3,3,0,1,[1 0 2 3],3,1,2.6356640000012703,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,4,4,0,1,[0 2 3 1],2,0,2.6407438999995065,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,3,3,0,1,[0 3 1 2],3,1,1.4839041000013822,20,Male,[2 3 0 1],[2 1 0 3]
UNW01,405,1,4,3,0,0,[0 2 1 3],4,0,1.2480351000012888,20,Male,[2 3 0 1],[2 1 0 3]
