exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,401,1,1,1,0,1,[0 1 3 2],0,4.1290679999983695,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,3,3,0,1,[1 0 2 3],0,2.3676876000026823,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,1,1,0,1,[0 2 3 1],1,1.6523727000021609,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,2,2,0,1,[0 2 1 3],0,2.1134107999969274,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,1,1,0,1,[0 3 1 2],1,1.7221971999970265,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,3,3,0,1,[0 2 3 1],1,3.4261443999967014,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,4,3,0,0,[1 2 0 3],0,1.7031089999982214,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,2,2,0,1,[1 0 2 3],0,2.5692794999995385,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,1,2,0,0,[1 0 2 3],0,1.5507015000002866,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,3,3,0,1,[0 2 1 3],1,4.662913399999525,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,2,2,0,1,[1 3 2 0],0,3.28186149999965,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,1,1,0,1,[1 0 3 2],0,4.284089600001607,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,1,1,0,1,[0 2 1 3],1,1.124750099999801,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,3,3,0,1,[3 2 1 0],1,1.6789973999984795,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,4,4,0,1,[0 1 2 3],1,2.448147400002199,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,1,1,0,1,[0 3 1 2],1,1.8751096000014513,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,2,1,0,0,[1 0 2 3],0,5.198533800001314,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,3,3,0,1,[1 3 2 0],1,1.6276389000013296,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,2,2,0,1,[3 1 0 2],0,2.6956954000015685,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,4,3,0,0,[0 1 3 2],1,4.481567900002119,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,2,2,0,1,[1 3 0 2],1,2.7225070999993477,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,3,3,0,1,[1 0 3 2],1,3.0441819000006944,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,4,4,0,1,[3 1 2 0],0,1.3756041000015102,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,1,2,0,0,[1 2 3 0],0,1.5505549000008614,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,2,2,0,1,[1 2 0 3],1,5.255124399998749,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,4,4,0,1,[0 2 1 3],0,2.0026297999975213,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,2,2,0,1,[3 2 1 0],1,3.118230500000209,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,4,4,0,1,[1 2 0 3],1,1.5838881000017864,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,3,3,0,1,[2 1 0 3],1,1.8069773000024725,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,2,1,0,0,[1 0 2 3],0,3.826964100000623,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,4,4,0,1,[2 1 3 0],0,2.006880499997351,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,1,1,0,1,[1 2 0 3],1,1.93292499999734,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,4,4,0,1,[1 3 2 0],1,2.9884471999976085,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,3,3,0,1,[1 2 0 3],1,1.3704457999992883,19,Female,[3 1 0 2],[2 0 1 3]
UNW01,401,1,4,4,0,1,[0 2 3 1],1,3.1706635000009555,19,Female,[3 1 0 2],[2 0 1 3]
