exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,117,1,2,2,1,1,[1 2 3 0],3,0,2.6004760000014358,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,1,1,1,1,[0 1 2 3],1,1,2.4866724999992584,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,4,4,1,1,[3 1 0 2],4,1,1.867185499999323,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,3,3,1,1,[1 3 0 2],3,1,2.4057943999996496,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,2,2,1,1,[0 1 2 3],2,1,1.5625349000001734,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,3,3,1,1,[0 3 1 2],3,1,1.602914299999611,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,3,3,1,1,[2 0 3 1],3,1,1.4572238000000652,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,3,3,1,1,[3 2 1 0],3,1,1.5323920999999245,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,2,2,1,1,[2 1 0 3],2,1,1.7259964999993826,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,1,1,1,1,[3 1 2 0],4,0,2.3589929999998276,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,1,1,1,1,[2 1 3 0],1,1,1.5988324000009015,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,2,2,1,1,[3 2 1 0],2,1,1.4368692000007286,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,2,2,1,1,[2 0 3 1],2,1,1.8815881999998965,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,3,3,1,1,[0 2 3 1],3,1,2.0606418999996094,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,4,4,1,1,[2 3 1 0],4,1,2.312347500001124,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,1,1,1,1,[1 0 3 2],1,1,1.8660713999997824,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,3,3,1,1,[0 3 1 2],2,0,1.3006687999986752,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,4,4,1,1,[2 1 3 0],4,1,4.255125300000145,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,4,4,1,1,[1 0 2 3],4,1,1.4830858999994234,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,1,1,1,1,[1 3 0 2],1,1,2.2621551000011095,22,Male,[2 1 3 0],[2 3 0 1]
UNW01,117,1,2,2,1,1,[0 1 2 3],2,1,2.6332387999991624,22,Male,[2 1 3 0],[2 3 0 1]
