exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,409,1,4,4,0,1,[3 1 0 2],4,1,3.3376776999975846,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,3,4,0,0,[1 2 3 0],3,0,2.3694637999979022,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,2,2,0,1,[2 3 0 1],2,1,2.053715199999715,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,1,1,0,1,[2 1 0 3],4,0,2.0444501000019955,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,3,3,0,1,[2 3 1 0],4,0,2.602060299999721,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,1,1,0,1,[0 2 1 3],2,0,5.031863000000158,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,4,3,0,0,[3 2 1 0],2,0,2.3861326000005647,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,3,3,0,1,[3 2 0 1],3,1,2.145075899999938,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,2,2,0,1,[2 0 3 1],2,1,3.274737899999309,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,3,3,0,1,[3 1 2 0],4,0,3.4461516000010306,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,1,1,0,1,[0 1 2 3],4,0,1.8974345999995421,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,1,1,0,1,[1 0 2 3],1,1,1.2511306999986118,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,4,4,0,1,[0 3 1 2],3,0,1.6384453999999096,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,4,3,0,0,[0 2 1 3],3,1,2.428177500001766,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,4,4,0,1,[1 2 0 3],3,0,2.0096529000002192,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,3,4,0,0,[0 3 2 1],2,0,3.6955435999989277,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,1,1,0,1,[0 1 2 3],2,0,4.481593600001361,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,4,4,0,1,[2 0 3 1],2,0,3.21231970000008,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,4,4,0,1,[0 2 1 3],4,1,1.7846121000002313,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,2,2,0,1,[3 0 2 1],1,0,2.9190455000025395,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,2,2,0,1,[3 1 0 2],2,1,1.3685368000005838,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,2,1,0,0,[0 1 2 3],2,0,0.7846083000004,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,1,1,0,1,[1 0 3 2],4,0,2.5189930999986245,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,4,4,0,1,[0 1 2 3],2,0,2.2402137000026414,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,4,4,0,1,[1 3 2 0],1,0,2.0929839000018546,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,1,1,0,1,[3 1 0 2],1,1,3.487613000001147,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,2,1,0,0,[1 0 3 2],4,0,1.3619712999970943,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,1,2,0,0,[2 0 1 3],4,0,1.2176950000030047,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,2,2,0,1,[2 1 0 3],2,1,1.5027139999983774,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,3,3,0,1,[0 3 1 2],4,0,1.5042600999986462,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,2,2,0,1,[2 1 3 0],3,0,3.0186762000012095,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,1,2,0,0,[2 0 1 3],1,0,1.7431851000001188,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,2,2,0,1,[0 2 1 3],2,1,5.753194699998858,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,3,3,0,1,[0 3 2 1],4,0,4.249436800000694,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,2,2,0,1,[1 0 2 3],2,1,2.315507200000866,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,3,3,0,1,[0 3 2 1],4,0,2.725487300001987,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,3,3,0,1,[3 0 1 2],3,1,1.8621015999997326,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,4,4,0,1,[0 1 3 2],4,1,1.7934448999985761,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,3,3,0,1,[2 0 1 3],1,0,3.4314742000024125,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,1,1,0,1,[1 2 0 3],4,0,6.534724500001175,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,1,1,0,1,[1 2 0 3],1,1,1.1112511999999697,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,3,3,0,1,[0 1 3 2],1,0,4.856609899998148,20,Female,[0 3 2 1],[3 1 0 2]
UNW01,409,1,2,2,0,1,[0 3 1 2],2,1,1.42854509999961,20,Female,[0 3 2 1],[3 1 0 2]
