exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,106,1,2,2,1,1,[1 3 0 2],-99,-99,-99,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,2,2,1,1,[3 2 0 1],2,1,1.4460357000352815,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[0 2 3 1],2,0,2.3515252000070177,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[0 3 2 1],4,1,1.9024853999726474,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[0 2 1 3],1,0,3.7364537000539713,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[3 2 0 1],3,0,3.6244818000122905,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[1 3 2 0],1,1,3.044917399995029,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[0 2 3 1],4,1,3.6083594000083394,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[2 1 0 3],4,1,2.2933867999818176,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,2,2,1,1,[3 2 1 0],2,1,4.479400300013367,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[3 0 1 2],1,0,1.9370670999633148,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,2,2,1,1,[1 0 3 2],4,0,3.481907000008505,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[0 1 3 2],3,0,2.5086818000418134,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[3 1 2 0],4,1,2.341171599982772,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[3 1 2 0],4,1,1.235279900021851,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[0 2 1 3],4,1,2.2731924999970943,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,2,2,1,1,[2 0 3 1],3,0,4.052011399995536,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[0 2 3 1],3,1,3.9918613000190817,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[3 1 2 0],1,1,3.037900900002569,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[1 0 2 3],4,1,2.9214710000087507,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,2,2,1,1,[1 0 3 2],4,0,5.274089599959552,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[3 1 2 0],4,1,1.5328558000037447,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,2,2,1,1,[3 2 1 0],2,1,1.9412532999995165,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[0 2 1 3],3,1,4.542078999977093,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[1 0 3 2],1,1,4.380505400011316,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,2,2,1,1,[3 2 0 1],2,1,3.3467647999641486,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[0 2 3 1],3,1,3.290128399967216,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[1 0 3 2],3,1,1.6047914999653585,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[0 2 1 3],3,1,1.5136474999599159,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[0 2 1 3],1,1,2.2336482999962755,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[3 2 0 1],3,1,1.2786959999939427,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[2 1 0 3],1,1,2.0162974999984726,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[2 1 3 0],3,1,1.3896746000391431,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,2,2,1,1,[3 1 0 2],2,1,1.6833739000139758,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[0 2 3 1],1,1,2.4219597000046633,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,2,2,1,1,[1 2 3 0],2,1,1.8980939000030048,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[0 2 3 1],1,1,1.6920750999706797,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[1 0 2 3],1,1,2.0618923000292853,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[0 3 1 2],3,1,1.7762252999818884,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[3 0 2 1],1,1,1.1276117999805138,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[3 0 1 2],1,1,2.7845552999642678,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[0 3 2 1],3,1,1.1755233999574557,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[3 1 0 2],1,1,1.6458417999674566,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,2,2,1,1,[3 2 1 0],2,1,1.5536683999816887,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[2 1 3 0],3,1,1.2885946999886073,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[2 1 0 3],1,1,1.7235945999855176,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[1 2 3 0],1,1,1.363778300001286,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[0 2 1 3],3,1,1.0264998000347987,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[1 3 0 2],1,1,1.4712271000025794,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,2,2,1,1,[2 0 3 1],2,1,2.146883399982471,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,2,2,1,1,[3 0 2 1],2,1,1.2503596000024118,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,1,1,1,1,[1 3 2 0],1,1,2.182375199976377,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[1 3 0 2],3,1,2.8353303000330925,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,3,3,1,1,[2 0 3 1],3,1,2.295318700023927,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[1 0 3 2],4,1,4.762850400002208,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[3 0 2 1],4,1,1.4800276000169106,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[2 3 1 0],4,1,1.5073717999621294,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,2,2,1,1,[2 3 1 0],2,1,1.5556417000479996,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[0 2 1 3],4,1,1.6758375999634154,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[3 2 1 0],4,1,1.990948999999091,20,Female,[0 2 3 1],[3 0 1 2]
UNW01,106,1,4,4,1,1,[3 2 1 0],4,1,0.9964179000235163,20,Female,[0 2 3 1],[3 0 1 2]
