exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,107,1,2,2,1,1,[0 1 3 2],1,0,2.7585101000004215,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,1,1,1,1,[2 3 1 0],1,1,2.8456526000009035,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,4,4,1,1,[0 3 1 2],4,1,1.4572735000001558,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,4,4,1,1,[1 0 2 3],4,1,1.2213802000005671,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,2,2,1,1,[3 1 0 2],2,1,1.2989597999985563,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,1,1,1,1,[3 2 0 1],1,1,1.3253337999994983,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,1,1,1,1,[3 2 1 0],1,1,1.7907178000023123,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,1,1,1,1,[1 0 2 3],1,1,1.6369489999997313,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,4,4,1,1,[2 1 0 3],4,1,2.0487600000014936,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,2,2,1,1,[2 1 0 3],2,1,1.3811928000031912,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,1,1,1,1,[3 0 2 1],1,1,2.307643399999506,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,4,4,1,1,[1 0 2 3],4,1,1.6462658000018564,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,3,3,1,1,[0 1 2 3],3,1,1.3473290000001725,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,2,2,1,1,[2 3 1 0],2,1,3.1297264999993786,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,1,1,1,1,[0 1 2 3],1,1,1.6993031999991217,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,1,1,1,1,[1 0 2 3],1,1,1.3638725000018894,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,2,2,1,1,[0 2 1 3],1,0,1.7561945999987074,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,3,3,1,1,[2 1 3 0],3,1,1.4512122999985877,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,3,3,1,1,[1 3 0 2],3,1,1.2880014999973355,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,2,2,1,1,[3 2 0 1],2,1,3.0823390999976255,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,2,2,1,1,[0 2 3 1],2,1,0.7020230000016454,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,4,4,1,1,[1 0 2 3],4,1,1.872002700001758,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,4,4,1,1,[1 2 3 0],4,1,1.1548543999997491,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,4,4,1,1,[0 1 2 3],4,1,0.922441800001252,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,1,1,1,1,[0 2 1 3],4,0,3.036793699997361,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,3,3,1,1,[1 3 0 2],3,1,2.1289725999995426,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,4,4,1,1,[0 3 1 2],4,1,1.9764879000031215,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,1,1,1,1,[1 2 0 3],1,1,1.5284936000025482,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,3,3,1,1,[0 1 2 3],3,1,1.328725499999564,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,2,2,1,1,[2 1 0 3],1,0,4.378535899999406,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,3,3,1,1,[3 2 0 1],3,1,0.8406651000004786,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,1,1,1,1,[0 1 3 2],1,1,2.9814237999999023,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,3,3,1,1,[0 3 2 1],3,1,1.115566199998284,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,3,3,1,1,[1 3 2 0],3,1,1.10916189999989,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,2,2,1,1,[3 1 0 2],2,1,3.0237838000030024,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,3,3,1,1,[1 3 0 2],3,1,1.226085399997828,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,4,4,1,1,[3 1 2 0],4,1,1.6334730999988096,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,3,3,1,1,[3 2 1 0],3,1,0.8630630000006931,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,2,2,1,1,[0 2 1 3],1,0,1.410424800000328,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,4,4,1,1,[0 3 2 1],4,1,2.814958100003423,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,4,4,1,1,[1 2 0 3],4,1,1.6678964999991877,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,4,4,1,1,[3 1 2 0],4,1,1.7843517000001157,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,1,1,1,1,[3 0 1 2],1,1,1.3583867999986978,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,2,2,1,1,[3 0 2 1],2,1,1.230739900001936,20,Female,[2 1 3 0],[1 2 3 0]
UNW01,107,1,2,2,1,1,[0 2 3 1],2,1,1.1793332999986887,20,Female,[2 1 3 0],[1 2 3 0]
