exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,403,1,2,1,0,0,[2 3 1 0],0,0.9925264999983483,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[3 1 0 2],0,3.8156199000004563,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,2,0,0,[2 3 1 0],0,1.4873344999978144,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[3 2 0 1],1,3.5765566999980365,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[2 3 0 1],1,1.4000631000017165,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[2 3 1 0],1,1.5501514000025054,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[3 0 1 2],0,5.080569099998684,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[2 0 1 3],0,3.6941845000001194,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[3 0 2 1],0,2.23780540000007,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,3,0,0,[2 3 1 0],0,2.768368900000496,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[3 0 1 2],1,1.3199009000018123,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[1 2 0 3],1,1.2539980000001378,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[3 1 0 2],0,3.9147265999999945,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[3 1 2 0],1,1.5329996999971627,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[1 0 3 2],0,2.2879068000002007,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[0 1 3 2],1,3.8695795999992697,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[0 3 2 1],1,1.6784359000012046,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[1 0 2 3],1,3.0481049999980314,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[0 2 3 1],0,1.8560374000007869,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[2 1 0 3],1,1.3986062000003585,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[2 3 1 0],1,1.2308711000005133,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[1 2 0 3],1,5.496313999999984,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[1 0 2 3],1,2.434537299999647,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[0 3 2 1],1,2.8139588000012736,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,4,0,0,[3 2 0 1],0,1.6813554000000295,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[2 3 1 0],0,4.407101400000101,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[0 3 2 1],1,1.512376700000459,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[3 1 0 2],0,3.9589226999996754,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[1 3 0 2],1,1.7797830999988946,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[1 2 3 0],1,0.958957000002556,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,2,0,0,[2 3 0 1],0,2.6980316000008315,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[3 1 0 2],0,2.6851174000003084,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,4,0,0,[1 2 0 3],0,1.27208459999747,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,3,0,0,[3 2 0 1],0,4.97606750000341,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,1,0,0,[0 1 2 3],0,1.3847566000004008,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[2 1 3 0],0,3.3433455000013055,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[1 0 3 2],0,3.789935600001627,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,3,0,0,[0 2 1 3],1,3.9525370999981533,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[0 3 1 2],0,1.119724000000133,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[3 1 0 2],0,3.2625446999991254,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[2 1 3 0],1,1.4409941999983857,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,4,0,0,[2 1 3 0],0,1.2290472999993654,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[1 3 0 2],0,2.0712563000015507,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[1 2 3 0],1,1.992160399997374,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[1 2 0 3],0,4.582759400000214,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[3 2 1 0],1,1.6610043000000587,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,2,0,0,[1 3 0 2],0,1.6876961999987543,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[3 1 2 0],0,1.1894316999969305,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[2 3 1 0],1,1.167797200003406,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[2 1 0 3],0,6.042026600000099,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[2 1 0 3],0,3.3806946000004245,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[2 3 0 1],1,0.9352707999969425,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[0 3 2 1],1,2.015190000001894,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[2 1 3 0],1,3.2729188999983307,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,4,0,0,[1 0 3 2],0,1.8325699999986682,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,2,0,0,[3 1 0 2],0,1.3820534999977099,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[1 0 2 3],1,1.4576611000011326,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[2 1 3 0],0,2.5174689999985276,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[2 3 0 1],1,1.4781476999996812,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[1 2 0 3],1,1.7338904999996885,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,1,0,0,[3 0 2 1],0,1.368723299998237,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[2 1 3 0],0,2.6055410000008123,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[2 0 1 3],1,3.079508099999657,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[2 3 1 0],1,1.975380399999267,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[2 3 0 1],0,4.728932099998929,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[1 3 0 2],1,1.2384783000015887,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[0 1 2 3],0,3.303011800002423,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[1 3 0 2],0,3.3571491000002425,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,1,0,0,[1 2 0 3],0,1.5529755999996269,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,3,0,0,[1 0 3 2],0,2.566622099999222,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[0 1 2 3],0,1.078603900001326,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[3 2 1 0],1,1.64750930000082,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[2 0 1 3],1,1.73291700000118,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[3 1 2 0],1,1.0737773000000743,29,Female,[2 3 1 0],[0 2 1 3]
