exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,303,1,4,4,1,1,[0 2 3 1],0,3.0347935000027064,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[0 3 1 2],0,1.5221516000165138,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[3 0 2 1],1,1.6497798999771476,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[0 3 1 2],1,2.1494557000114582,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[0 3 1 2],0,1.3505486999929417,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[0 1 3 2],1,1.8928357000113465,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[1 0 3 2],1,2.3751931999868248,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[3 0 1 2],1,1.9023343999870121,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[0 2 3 1],1,2.4564788000134286,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[3 2 0 1],1,2.507181099994341,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[3 1 2 0],1,1.9653705000237096,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[2 0 3 1],1,3.0433653999934904,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[1 2 3 0],1,2.6973770999757107,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[1 3 0 2],1,3.2639153999916743,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[1 0 3 2],1,2.8349075999867637,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[0 1 2 3],1,4.60813480001525,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[0 2 3 1],1,4.629090900009032,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[3 0 1 2],1,3.039188299997477,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[2 3 1 0],1,1.469251600006828,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[0 2 1 3],1,4.750559400010388,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[1 3 2 0],1,2.141572199994698,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[1 0 3 2],1,2.5502417999960016,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[1 0 3 2],1,2.0139016000030097,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[0 1 3 2],1,1.8662750000075903,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[2 3 0 1],1,2.2611291999928653,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[3 1 0 2],1,4.458347399980994,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[3 1 0 2],1,5.788799400004791,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[3 2 1 0],1,1.6249559000134468,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[0 1 2 3],1,5.0709353999991436,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[1 2 0 3],1,2.040649900009157,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[1 3 2 0],1,3.2058369000151288,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[1 0 2 3],1,1.6438072999881115,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[0 1 3 2],1,2.774961599992821,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[0 3 1 2],1,3.0283200000121724,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[0 3 2 1],1,4.377760599978501,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[0 2 1 3],1,1.5768943000002764,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[2 3 0 1],1,3.0319359000131954,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[3 0 1 2],1,3.6930119000026025,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[3 2 0 1],1,2.855138899991289,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[3 1 0 2],1,1.5926191999751609,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[3 1 2 0],1,3.1600865999935195,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[3 1 2 0],1,1.0955310999997891,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[2 0 3 1],1,2.255028500017943,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[2 0 3 1],1,2.802541499986546,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[3 1 2 0],1,1.3615433999802917,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[3 2 0 1],1,2.2731751000101212,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[3 0 1 2],1,1.4197859000123572,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[3 1 2 0],1,1.559531100007007,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[0 3 1 2],1,2.950324300007196,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[1 0 2 3],1,2.2242188999953214,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[3 2 1 0],1,1.700197300000582,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[1 2 0 3],1,1.3661006999900565,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[2 1 3 0],1,1.7719968000019435,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[3 1 2 0],1,1.0599961999978404,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[1 0 3 2],1,2.6234514999960084,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[1 0 3 2],1,1.1069334000058006,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[3 0 2 1],1,1.421561000024667,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[2 0 3 1],1,1.4740771999931894,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[1 3 0 2],1,2.189203899994027,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[3 2 0 1],1,1.859951300022658,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[1 2 3 0],1,2.7902332000085153,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[3 0 2 1],1,1.0454509000119288,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[2 1 0 3],1,2.960929099994246,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[3 2 0 1],1,1.8161122000019532,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[2 3 0 1],1,1.1805994999886025,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[2 1 0 3],1,1.4513197999913245,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[1 2 3 0],1,2.886503999994602,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[3 2 0 1],1,2.7371124000055715,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[3 0 1 2],1,3.183351500018034,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[3 2 0 1],1,1.295987999998033,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[3 0 2 1],1,2.072312200005399,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[3 2 1 0],1,1.3231675999995787,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[0 3 2 1],1,1.4350025999883655,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[2 0 3 1],1,1.2887139999947976,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[1 2 0 3],1,2.5940386000147555,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[2 0 1 3],1,1.4479854999808595,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[1 3 2 0],1,1.0521158000046853,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[2 1 0 3],1,1.8219642999756616,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[1 3 2 0],1,2.163711200002581,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[0 1 3 2],1,1.6584718000085559,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[2 3 1 0],1,1.8068457999906968,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[3 0 1 2],1,2.0521071999974083,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[3 1 0 2],1,1.7912866999977268,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[2 3 0 1],1,1.5098272000032011,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[3 1 0 2],1,1.2615756999875885,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[0 3 1 2],1,2.2962493000086397,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,3,3,1,1,[3 1 0 2],1,1.625763799995184,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[3 0 2 1],1,2.119680600007996,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,4,4,1,1,[1 0 3 2],1,1.392742800002452,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,1,1,1,1,[3 1 0 2],1,4.014603799994802,18,Non-binary,[0 3 2 1],[1 0 2 3]
UNW01,303,1,2,2,1,1,[3 0 2 1],1,1.2990592000132892,18,Non-binary,[0 3 2 1],[1 0 2 3]
