exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,103,1,3,3,1,1,[0 1 3 2],2,0,3.3516634999978123,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,1,1,1,1,[1 0 2 3],1,1,3.6714441000003717,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,4,4,1,1,[3 2 1 0],4,1,4.728584800002864,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,4,4,1,1,[0 1 2 3],4,1,2.951909900002647,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,1,1,1,1,[1 0 2 3],1,1,3.216398600001412,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,4,4,1,1,[2 0 1 3],4,1,3.5746014999967883,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,3,3,1,1,[0 3 2 1],3,1,4.718293199999607,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,2,2,1,1,[2 1 0 3],2,1,2.062038299998676,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,2,2,1,1,[2 1 3 0],2,1,1.8459852999949362,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,3,3,1,1,[1 0 3 2],1,0,4.99614379999548,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,2,2,1,1,[1 0 2 3],1,0,3.1699771999992663,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,3,3,1,1,[3 0 1 2],3,1,2.061728699998639,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,2,2,1,1,[1 3 0 2],1,0,3.426256899998407,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,2,2,1,1,[3 0 1 2],2,1,1.3335379000054672,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,1,1,1,1,[2 1 0 3],1,1,4.439636800001608,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,1,1,1,1,[0 3 2 1],1,1,1.355264999998326,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,1,1,1,1,[0 2 3 1],1,1,1.2979061000005458,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,4,4,1,1,[3 1 0 2],2,0,2.1813877999957185,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,3,3,1,1,[0 2 1 3],3,1,5.2511335000017425,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,4,4,1,1,[1 2 0 3],4,1,2.9977584000007482,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,4,4,1,1,[1 3 0 2],4,1,1.5057549999983166,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,4,4,1,1,[3 2 1 0],4,1,1.8133756999959587,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,3,3,1,1,[2 3 1 0],3,1,2.2415096999975503,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,4,4,1,1,[3 0 1 2],4,1,2.4372187000044505,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,2,2,1,1,[0 2 3 1],1,0,4.65634890000365,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,1,1,1,1,[2 3 0 1],1,1,1.1966108000051463,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,4,4,1,1,[3 1 0 2],4,1,1.7302393999998458,21,Male,[3 1 2 0],[1 2 0 3]
UNW01,103,1,3,3,1,1,[2 1 3 0],3,1,2.7858571000033407,21,Male,[3 1 2 0],[1 2 0 3]
