exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,211,1,3,3,0,1,[3 1 2 0],4,0,2.9213008000006084,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,4,4,0,1,[1 0 2 3],2,0,2.113908499995887,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,2,2,0,1,[1 3 0 2],4,0,2.027091100004327,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,2,2,0,1,[1 2 0 3],2,1,1.0792580999986967,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,3,3,0,1,[0 2 1 3],4,0,1.6973208999988856,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,1,1,0,1,[1 2 3 0],3,0,3.555372599999828,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,3,3,0,1,[2 3 0 1],1,0,3.0741505000041798,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,1,1,0,1,[3 0 1 2],2,0,2.91750250000041,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,1,1,0,1,[0 2 3 1],1,1,3.2207276999979513,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,3,4,0,0,[3 2 0 1],4,1,4.017674300004728,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,2,2,0,1,[0 1 3 2],3,0,3.7346170999953756,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,4,4,0,1,[3 2 0 1],3,0,2.2147975000043516,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,3,3,0,1,[1 2 0 3],3,1,2.7871288000023924,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,2,2,0,1,[1 3 0 2],1,0,2.386099199997261,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,4,4,0,1,[3 2 0 1],4,1,4.183244300002116,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,3,4,0,0,[1 3 0 2],1,0,1.6372782999969786,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,2,2,0,1,[2 1 0 3],1,0,1.6812031000008574,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,4,4,0,1,[2 1 0 3],1,0,3.4762351000026683,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,1,2,0,0,[2 0 1 3],1,0,1.3902576999971643,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,1,1,0,1,[0 3 1 2],2,0,1.0042006999938167,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,3,3,0,1,[3 1 2 0],2,0,3.0738707999989856,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,4,4,0,1,[3 2 1 0],1,0,3.662009499996202,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,1,2,0,0,[2 1 0 3],3,0,2.52009490000637,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,3,3,0,1,[3 0 2 1],4,0,6.024614400004793,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,4,4,0,1,[2 3 1 0],4,1,1.2297399000017322,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,4,4,0,1,[2 1 3 0],4,1,1.8013156000015442,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,1,1,0,1,[3 2 0 1],1,1,5.039399900000717,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,4,3,0,0,[0 3 1 2],4,0,2.6118004999952973,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,2,1,0,0,[3 0 1 2],2,0,2.8401727999953437,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,2,2,0,1,[2 0 3 1],2,1,2.612870400000247,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,1,1,0,1,[3 1 2 0],1,1,2.2401746999967145,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,1,1,0,1,[3 2 1 0],2,0,2.684334300000046,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,2,2,0,1,[2 3 0 1],3,0,4.807147699997586,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,4,3,0,0,[1 0 3 2],1,0,3.244227499999397,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,4,4,0,1,[3 0 2 1],3,0,1.392514699997264,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,1,1,0,1,[1 2 3 0],3,0,1.981694800000696,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,3,3,0,1,[1 2 0 3],4,0,2.6684338999984902,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,2,2,0,1,[1 3 0 2],2,1,2.159429300001648,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,3,3,0,1,[0 3 2 1],3,1,6.7340125999980955,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,2,1,0,0,[2 0 3 1],2,0,2.270173099997919,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,2,2,0,1,[3 2 0 1],2,1,1.680606699999771,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,1,1,0,1,[1 2 3 0],3,0,3.1878227000051993,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,3,4,0,0,[2 1 0 3],1,0,2.1855986999944435,29,Male,[0 2 1 3],[2 3 1 0]
UNW01,211,1,4,4,0,1,[1 3 2 0],3,0,3.0470398999968893,29,Male,[0 2 1 3],[2 3 1 0]
